Project Title,Field/Discipline,Year,Competition Name,Summary + Expansion
Mechanisms of High-Salt Diet-Induced Learning Deficit in Drosophila,Animal Sciences,2022,Regeneron ISEF,"**Summary:** This project investigates how a high-salt diet affects learning abilities in Drosophila, aiming to uncover the underlying mechanisms responsible for these cognitive deficits.

**Problem Being Solved:** The study addresses the increasing prevalence of high-salt diets and their potential cognitive effects, specifically how such diets may impair learning and memory functions in organisms.

**Proposed Solution:** The research proposes to utilize Drosophila as a model organism to identify and analyze the neurobiological changes induced by high-salt intake that contribute to learning deficits.

**Resources Required:** Necessary resources include laboratory space, Drosophila cultures, salt diet formulations, behavioral testing equipment, and analytical tools for measuring neurobiological changes.

**Timeline:** The project timeline spans approximately 6 months, with phases allocated for dietary manipulation (2 months), behavioral assays (2 months), data analysis (1 month), and report writing (1 month).

**Cost Involved:** Estimated costs include materials for Drosophila maintenance, dietary components, behavioral testing supplies, and laboratory equipment, totaling around $2,000.

**Step-by-Step Execution:**
1. Establish Drosophila cultures and optimize their breeding conditions.
2. Design and prepare high-salt diet formulations.
3. Implement dietary interventions on experimental groups while maintaining control groups.
4. Conduct behavioral assays to assess learning and memory performance.
5. Collect and analyze data to identify neurobiological changes associated with learning deficits.
6. Compile findings and prepare a comprehensive report for presentation."
Year 5: Developing a Novel Multiple Linear Regression Model To Optimize Honey Bee Gut Immunity Using a Lactic Acid Bacteria Probiotic Mixture,Animal Sciences,2022,Regeneron ISEF,"Summary: This project aims to create an innovative multiple linear regression model designed to enhance the gut immunity of honey bees through the use of a specially formulated lactic acid bacteria probiotic mixture.

Problem Being Solved:
Honey bee populations are declining due to various stressors, including gut health issues that compromise their immunity. This project seeks to address the lack of effective management strategies for improving honey bee gut immunity.

Proposed Solution:
The proposed solution involves developing a novel statistical model that utilizes multiple linear regression to analyze the effects of different lactic acid bacteria probiotic mixtures on honey bee gut immunity, thereby identifying the most beneficial formulation.

Resources Required:
- Access to honey bee colonies for experimentation
- Laboratory equipment for analyzing gut health and immunity
- Statistical software for modeling and analysis (e.g., R, Python)
- Probiotic cultures of lactic acid bacteria
- Funding for materials and supplies

Timeline:
- Month 1-2: Literature review and initial design of the regression model
- Month 3-4: Collection of honey bee samples and probiotic preparation
- Month 5-6: Conducting experiments and gathering data
- Month 7: Data analysis and model refinement
- Month 8: Finalization of results and preparation for presentation

Cost Involved:
Estimated costs include laboratory materials, probiotic cultures, and maintenance of honey bee colonies, totaling approximately $2,000 - $3,000.

Step-by-Step Execution:
1. Conduct a comprehensive literature review on honey bee gut immunity and probiotics.
2. Design the multiple linear regression model framework.
3. Acquire honey bee colonies and prepare lactic acid bacteria probiotic mixtures.
4. Perform experimental trials to assess the impact of probiotics on gut health.
5. Collect and analyze data using the regression model.
6. Refine the model based on findings and prepare a final report.
7. Present findings at the Regeneron ISEF competition."
Averting Human-Elephant Conflict Using Machine Learning on Elephant Vocalizations,Animal Sciences,2022,Regeneron ISEF,"Summary: This project focuses on utilizing machine learning techniques to analyze elephant vocalizations in order to prevent conflicts between humans and elephants. By understanding and interpreting these vocal signals, the aim is to mitigate dangerous encounters and promote coexistence.

Problem Being Solved: Human-elephant conflicts often arise due to encroachment on elephant habitats, leading to damage to crops and property, as well as potential harm to both humans and elephants. 

Proposed Solution: The project proposes to employ machine learning algorithms to analyze and classify different elephant vocalizations, allowing for real-time monitoring and alerts to notify nearby human populations of elephant movements and behaviors.

Resources Required: Access to machine learning software, audio recording equipment for capturing elephant vocalizations, data storage for audio files, and collaboration with wildlife experts for data validation and interpretation.

Timeline: The project will be executed over a 12-month period, with the first 3 months dedicated to data collection, the next 4 months for developing and training the machine learning model, followed by 3 months of testing and validation, and the final 2 months for analysis and presentation of results.

Cost Involved: Estimated costs will include audio recording equipment ($2,000), software licenses for machine learning tools ($1,500), data storage solutions ($500), and potential travel expenses for fieldwork ($1,000), totaling approximately $5,000.

Step-by-Step Execution:
1. Identify and collaborate with wildlife experts and local communities affected by human-elephant conflict.
2. Collect audio recordings of elephant vocalizations in various contexts and environments.
3. Preprocess the audio data to enhance quality and remove noise.
4. Develop machine learning models using the collected data to classify and predict elephant behaviors based on vocalizations.
5. Test the model's accuracy in real-time scenarios and refine it based on feedback.
6. Implement a notification system for local communities based on the model's predictions.
7. Analyze the effectiveness of the solution in reducing human-elephant conflicts and prepare results for presentation."
"What You Eat, What You Are: Diet-induced Epigenetic Alteration of Tenebrio molitor’s Pigmentation",Animal Sciences,2022,Regeneron ISEF,"**Summary:** This project investigates how dietary factors influence epigenetic changes in the pigmentation of Tenebrio molitor (mealworms), highlighting the relationship between nutrition and phenotypic expression.

**Problem Being Solved:** The study addresses the gap in understanding how diet can lead to epigenetic modifications that affect the physical characteristics of organisms, specifically the pigmentation of Tenebrio molitor.

**Proposed Solution:** By conducting controlled experiments to analyze the effects of various diets on mealworm pigmentation, the research aims to demonstrate the link between dietary choices and epigenetic outcomes.

**Resources Required:** 
- Tenebrio molitor specimens 
- Controlled environment for rearing mealworms 
- Various dietary inputs (different types of feed) 
- Laboratory equipment for epigenetic analysis (e.g., PCR, sequencing tools) 
- Analytical software for data processing

**Timeline:**
1. **Week 1-2:** Collect and prepare mealworm specimens and establish controlled environment.
2. **Week 3-4:** Administer different diets to mealworms and monitor growth.
3. **Week 5-6:** Collect samples for pigmentation analysis.
4. **Week 7-8:** Conduct epigenetic analysis to identify alterations.
5. **Week 9:** Analyze data and compile results.

**Cost Involved:** Estimated costs may include:
- Mealworm specimens: $50
- Diet materials: $100
- Laboratory supplies: $200
- Analysis tools: $150
Total Estimated Cost: $500

**Step-by-Step Execution:**
1. Acquire Tenebrio molitor and establish a controlled rearing environment.
2. Prepare various diets to be administered to different groups of mealworms.
3. Monitor and document growth and pigmentation changes over the experiment period.
4. Collect samples at the end of the dietary exposure for epigenetic analysis.
5. Use laboratory techniques to analyze epigenetic modifications.
6. Compile and interpret data to draw conclusions on the relationship between diet and pigmentation."
Uncovering the Origin and Evolution of the Firefly Bioluminescence Storage Protein,Animal Sciences,2022,Regeneron ISEF,"Summary: This project investigates the origins and evolutionary development of the proteins responsible for bioluminescence in fireflies, aiming to enhance understanding of their biological and ecological significance.

Problem Being Solved: The research addresses the lack of comprehensive knowledge regarding the evolutionary pathways and origins of firefly bioluminescence storage proteins, which are crucial for understanding their function and ecological roles.

Proposed Solution: By conducting comparative analyses of the genetic sequences and structures of bioluminescence storage proteins across different firefly species, this project aims to trace their evolutionary history and elucidate the mechanisms behind their bioluminescent capabilities.

Resources Required: This project will require access to genetic sequencing technologies, bioinformatics software for data analysis, laboratory equipment for protein extraction and characterization, and reference materials on firefly species and evolutionary biology.

Timeline: The project is expected to be completed within one year, with the following phases: literature review and planning (1 month), sample collection and preparation (3 months), genetic sequencing and analysis (4 months), data interpretation (2 months), and report writing and presentation preparation (2 months).

Cost Involved: Estimated costs include laboratory supplies and reagents ($1,500), sequencing services ($3,000), bioinformatics resources ($1,000), and travel for fieldwork if necessary ($500), totaling approximately $6,000.

Step-by-Step Execution:
1. Conduct a thorough literature review on firefly bioluminescence and related proteins.
2. Identify and collect samples from various firefly species for analysis.
3. Extract and purify bioluminescence storage proteins from collected samples.
4. Perform genetic sequencing to obtain data on protein-coding genes.
5. Analyze genetic data using bioinformatics tools to trace evolutionary relationships.
6. Interpret findings in the context of ecological and evolutionary significance.
7. Compile results into a report and prepare a presentation for the Regeneron ISEF competition."
A Non-Invasive Approach to the Treatment of Equine White Line Disease Using Poly-Wrap and Manuka Honey Topical,Animal Sciences,2022,Regeneron ISEF,"Summary: This project explores a non-invasive treatment method for Equine White Line Disease utilizing a combination of Poly-Wrap and Manuka honey as a topical solution. The study aims to improve healing processes in horses affected by this condition while minimizing discomfort and complications.

Problem Being Solved:
The project addresses Equine White Line Disease, a painful and often debilitating condition affecting horses' hooves, which can lead to further complications if left untreated.

Proposed Solution:
The proposed solution involves applying a topical treatment of Manuka honey, known for its antibacterial properties, along with a Poly-Wrap to create a protective barrier that promotes healing without the need for invasive procedures.

Resources Required:
Key resources required include Poly-Wrap materials, Manuka honey, veterinary expertise for application and monitoring, and a controlled environment for conducting treatment trials.

Timeline:
The project is expected to span over several months, including stages for preparation (1 month), treatment application (2 months), monitoring (1 month), and data analysis (1 month).

Cost Involved:
Estimated costs include purchasing Poly-Wrap, Manuka honey, veterinary services, and miscellaneous supplies, totaling approximately $500.

Step-by-Step Execution:
1. Research and gather information on Equine White Line Disease and existing treatments.
2. Acquire necessary materials, including Poly-Wrap and Manuka honey.
3. Obtain veterinary guidance to ensure safe application of the treatment.
4. Identify and select horses affected by White Line Disease for the study.
5. Apply the topical treatment as per the developed protocol.
6. Monitor the horses for signs of improvement and record data.
7. Analyze the results to evaluate the effectiveness of the treatment.
8. Prepare a report to present findings at the Regeneron ISEF competition."
Rearing Crickets *Teleogryllus mitratus* in Green LED Light Can Significantly Reduce Limb Autotomy and Mortality,Animal Sciences,2022,Regeneron ISEF,"Summary: This project investigates the impact of rearing crickets (*Teleogryllus mitratus*) under green LED light, demonstrating that this method can significantly decrease instances of limb autotomy and mortality in the species.

Problem Being Solved: Crickets often experience limb autotomy as a survival mechanism, leading to increased mortality rates in captivity. This project aims to identify methods to reduce these occurrences and enhance the overall survival of crickets.

Proposed Solution: The proposed solution involves rearing crickets under green LED light, which has been hypothesized to create a more conducive environment that minimizes stress and the likelihood of limb loss.

Resources Required: The resources needed include a controlled environment chamber, green LED lights, crickets (*Teleogryllus mitratus*), food and water supplies, and monitoring equipment to track limb autotomy and mortality rates.

Timeline: The project will be executed over a period of six months, including a month for setup, four months for rearing and data collection, and one month for analysis and reporting results.

Cost Involved: Estimated costs include equipment (lights and environment chamber), supplies (crickets, food, monitoring tools), and miscellaneous expenses, totaling approximately $500.

Step-by-Step Execution: 
1. Setup the controlled environment chamber with green LED lights.
2. Acquire and prepare the necessary supplies for rearing crickets.
3. Introduce crickets into the environment and monitor initial acclimatization.
4. Collect data on limb autotomy and mortality rates over four months.
5. Analyze the collected data to assess the effectiveness of green LED light.
6. Prepare a report detailing findings and conclusions for presentation at Regeneron ISEF."
The Mechanism of Female Parasitoid Wasps That Do Not Oviposit Interrupting the Oviposition of Other Female Wasps,Animal Sciences,2022,Regeneron ISEF,"**Summary:**  
This project investigates the unique mechanisms employed by female parasitoid wasps that refrain from laying eggs (ovipositing) and how these mechanisms disrupt the oviposition behavior of other female wasps. The study aims to deepen understanding of interspecific interactions among parasitoids.

---

**Problem Being Solved:**  
The research addresses the challenge of understanding how female parasitoid wasps can influence the reproductive success of other female wasps through non-ovipositional behaviors.

**Proposed Solution:**  
The project proposes to analyze the behavioral and chemical mechanisms that female parasitoid wasps employ to interrupt the oviposition of their competitors, potentially identifying specific signals or triggers involved in this interaction.

**Resources Required:**  
Resources needed include access to a laboratory for observing wasp behavior, equipment for conducting behavioral assays, and tools for chemical analysis of wasp interactions.

**Timeline:**  
- **Month 1-2:** Literature review and hypothesis formulation.  
- **Month 3-5:** Field collection of parasitoid wasps and initial behavioral observations.  
- **Month 6-7:** Conduct experiments to analyze interruptive behaviors and chemical signals.  
- **Month 8:** Data analysis and interpretation.  
- **Month 9:** Preparation of findings for presentation and submission to the competition.

**Cost Involved:**  
Estimated costs include laboratory supplies, equipment for behavioral assays (approximately $500), and potential travel costs for field collection (approximately $300), totaling around $800.

**Step-by-Step Execution:**  
1. Conduct a thorough literature review on parasitoid wasp oviposition behaviors.  
2. Formulate hypotheses regarding the interruptive behaviors and chemical signals.  
3. Collect female parasitoid wasps from natural habitats and set up controlled observation environments.  
4. Perform behavioral assays to observe interactions between wasps during oviposition attempts.  
5. Analyze chemical signals using appropriate analytical techniques (e.g., gas chromatography).  
6. Compile and analyze data to identify key findings.  
7. Prepare results for presentation at the Regeneron ISEF competition.  
8. Submit research findings for publication in a relevant scientific journal."
Loss of NMDA Receptor Signaling Results in Excess Proliferation of CNS and Neural Crest-Derived Cells,Animal Sciences,2022,Regeneron ISEF,"**Summary:** This project investigates how the loss of NMDA receptor signaling leads to the excessive proliferation of cells derived from the central nervous system and neural crest. The findings aim to enhance understanding of cellular mechanisms that could contribute to developmental disorders.

**Problem Being Solved:** The study addresses the issue of uncontrolled cell proliferation in the central nervous system and neural crest, which can lead to various neurological disorders and developmental anomalies.

**Proposed Solution:** By analyzing the mechanisms by which NMDA receptor signaling impacts cell proliferation, the project seeks to identify potential therapeutic targets to regulate excessive cell growth.

**Resources Required:** Required resources include laboratory space for cell culture and experimentation, access to animal models for in vivo studies, NMDA receptor antagonists, and molecular biology tools for assessing cell proliferation.

**Timeline:** The project is expected to progress over a 12-month period, with the first 4 months dedicated to literature review and experimental design, followed by 6 months of experimentation, and the final 2 months allocated for data analysis and report preparation.

**Cost Involved:** Estimated costs include laboratory supplies (approximately $1,500), animal care (around $2,000), and reagents (about $1,000), totaling an estimated budget of $4,500.

**Step-by-Step Execution:**
1. Conduct a thorough literature review on NMDA receptors and cell proliferation.
2. Design experiments to assess the effects of NMDA receptor loss on cell proliferation in vitro.
3. Implement in vivo studies using appropriate animal models to validate findings.
4. Collect and analyze data to measure cell growth rates and signaling pathways.
5. Interpret results and prepare a comprehensive report for presentation at the Regeneron ISEF competition."
Secret Sounds of Bees: Analysis of Honey Bee Vibroacoustics Using Hidden Markov Models,Animal Sciences,2022,Regeneron ISEF,"**Summary:** This project investigates the acoustic signals produced by honey bees, utilizing Hidden Markov Models to analyze their vibroacoustic patterns. The aim is to enhance understanding of bee communication and behavior through these sound analyses.

**Problem Being Solved:** The project addresses the limited understanding of how honey bees communicate through sound, which is critical for their social structures and behaviors.

**Proposed Solution:** By applying Hidden Markov Models to analyze the vibroacoustic signals of honey bees, the project aims to decode these sounds and provide insights into their communication methods.

**Resources Required:** Equipment for sound recording, software for data analysis (specifically for Hidden Markov Models), bee colonies for observation, and potentially collaboration with experts in acoustics and animal behavior.

**Timeline:** The project will span several months, including phases for data collection (1-2 months), analysis (2-3 months), and interpretation of results (1 month), with a total expected duration of 5-6 months.

**Cost Involved:** Costs may include equipment purchase or rental (approximately $500-$1000), software licenses (if applicable, around $200-$500), and potential travel expenses for fieldwork (estimated at $300-$600).

**Step-by-Step Execution:**
1. Obtain necessary permits for bee observation and sound recording.
2. Set up recording equipment in various environments where honey bees are present.
3. Collect acoustic data over a predetermined period.
4. Process the recorded data using software that implements Hidden Markov Models.
5. Analyze the results to identify patterns and meanings of the acoustic signals.
6. Compile findings into a report and prepare for presentation at the Regeneron ISEF competition."
